date,maxpressurem,maxdewptm,maxpressurei,maxdewpti,since1julheatingdegreedaysnormal,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,hail,since1julsnowfallm,since1julheatingdegreedays,maxvisi,since1sepheatingdegreedaysnormal,heatingdegreedays,mindewptm,since1sepheatingdegreedays,maxwspdm,since1julsnowfalli,since1sepcoolingdegreedays,snow,meanvism,meandewptm,snowdepthm,meanvisi,fog,snowdepthi,minvism,since1jancoolingdegreedays,minvisi,coolingdegreedaysnormal,gdegreedays,maxwspdi,meanwindspdi,meanpressurei,monthtodateheatingdegreedaysnormal,meanwindspdm,meanpressurem,tornado,mindewpti,mintempi,meandewpti,rain,mintempm,minhumidity,precipsource,minwspdi,meanwdird,meanwdire,minwspdm,monthtodatesnowfalli,monthtodatecoolingdegreedaysnormal,monthtodatesnowfallm,maxhumidity,coolingdegreedays,maxtempm,minpressurei,monthtodatecoolingdegreedays,maxtempi,minpressurem,humidity,precipi,snowfalli,since1jancoolingdegreedaysnormal,precipm,snowfallm,thunder,monthtodateheatingdegreedays,meantempi,maxvism,meantempm
2011-05-01,1026,6,30.31,42,4646,8,,0,157.23,4635,10,,5,2,,21,61.90,,0,16,4,0.00,10,0,0.00,16,13,10,1,10,13,5,30.27,8,9,1025,0,35,50,39,0,10,32,,0,133,,0,0.00,1,0.00,74,0,21,30.23,0,69,1024,,0.00,0.00,13,0.00,0.00,0,5,60,16,16
2011-05-02,1026,10,30.31,50,4653,7,,0,157.23,4643,10,,8,4,,16,61.90,,0,16,7,0.00,10,0,0.00,16,13,10,1,6,10,5,30.22,15,8,1023,0,39,50,45,0,10,60,,0,131,,0,0.00,2,0.00,83,0,17,30.13,0,63,1020,,0.00,0.00,14,0.00,0.00,0,13,57,16,14
2011-05-03,1021,15,30.14,59,4660,7,,0,157.23,4643,10,,0,10,,23,61.90,,0,15,12,0.00,10,0,0.00,13,13,8,1,14,14,7,30.05,22,11,1017,0,50,55,54,0,13,57,,4,89,,6,0.00,3,0.00,86,0,24,29.94,0,75,1014,,0.00,0.00,15,0.00,0.00,0,13,65,16,18
2011-05-04,1017,14,30.03,57,4667,7,,0,157.23,4653,10,,10,3,,23,61.90,,0,11,9,0.00,7,0,0.00,2,13,2,1,5,14,6,29.97,29,10,1015,0,38,46,48,1,8,66,,0,288,,0,0.00,4,0.00,93,0,18,29.91,0,64,1013,,0.50,0.00,16,12.70,0.00,0,23,55,16,13
2011-05-05,1016,4,30.01,39,4673,6,,0,157.23,4662,10,,9,-6,,29,61.90,,0,16,-1,0.00,10,0,0.00,16,13,10,1,4,18,9,29.95,35,14,1014,0,22,46,31,0,8,20,,0,284,,0,0.00,5,0.00,76,0,18,29.89,0,65,1012,,0.00,0.00,17,0.00,0.00,0,32,56,16,13
2011-05-06,1015,8,29.99,46,4679,6,,0,157.23,4666,10,,4,-3,,23,61.90,,0,16,2,0.00,10,0,0.00,16,13,10,1,11,14,6,29.92,41,9,1013,0,26,50,36,0,10,27,,4,190,,6,0.00,6,0.00,60,0,22,29.84,0,72,1010,,0.00,0.00,18,0.00,0.00,0,36,61,16,16
2011-05-07,1011,8,29.87,47,4685,6,,0,157.23,4667,10,,1,2,,27,61.90,,0,16,6,0.00,10,0,0.00,16,13,10,1,12,17,6,29.84,47,9,1010,0,36,55,42,0,13,28,,0,243,,0,0.00,7,0.00,72,0,22,29.78,0,72,1008,,0.00,0.00,19,0.00,0.00,0,37,64,16,18
2011-05-08,1014,9,29.96,48,4691,6,,0,157.23,4669,10,,2,3,,21,61.90,,0,16,6,0.00,10,0,0.00,16,13,10,1,13,13,5,29.89,53,8,1012,0,37,52,42,0,11,29,,0,324,,0,0.00,8,0.00,71,0,23,29.85,0,74,1011,,0.00,0.00,20,0.00,0.00,0,39,63,16,17
2011-05-09,1016,9,30.01,49,4696,5,,0,157.23,4671,10,,2,1,,29,61.90,,0,16,4,0.00,10,0,0.00,16,13,10,1,12,18,7,29.95,58,11,1014,0,34,54,39,0,12,28,,0,20,,0,0.00,9,0.00,72,0,22,29.88,0,71,1012,,0.00,0.00,21,0.00,0.00,0,41,63,16,17
2011-05-10,1017,8,30.05,47,4701,5,,0,157.23,4672,10,,1,2,,27,61.90,,0,16,4,0.00,10,0,0.00,16,13,10,1,14,17,6,29.98,63,9,1015,0,35,53,40,0,12,29,,0,20,,0,0.00,10,0.00,77,0,24,29.94,0,75,1014,,0.00,0.00,22,0.00,0.00,0,42,64,16,18
2011-05-11,1019,10,30.09,50,4706,5,,0,157.23,4675,10,,3,7,,26,61.90,,0,16,8,0.00,10,0,0.00,16,13,10,1,11,16,6,30.07,68,9,1018,0,44,52,47,0,11,44,,0,17,,0,0.00,11,0.00,83,0,22,30.03,0,71,1017,,0.00,0.00,23,0.00,0.00,0,45,62,16,17
2011-05-12,1019,11,30.10,51,4711,5,,0,157.23,4677,10,,2,6,,23,61.90,,0,16,8,0.00,10,0,0.00,16,13,10,1,14,14,5,30.05,73,8,1017,0,43,52,47,0,11,38,,0,128,,0,0.00,12,0.00,83,0,23,29.99,0,74,1015,,0.00,0.00,24,0.00,0.00,0,47,63,16,17
2011-05-13,1017,11,30.03,51,4715,4,,0,157.23,4682,10,,5,8,,16,61.90,,0,16,9,0.00,10,0,0.00,14,13,9,1,9,10,3,29.94,77,5,1014,0,47,52,49,0,11,56,,0,195,,0,0.00,13,0.00,83,0,19,29.85,0,67,1011,,0.00,0.00,25,0.00,0.00,0,52,60,16,16
2011-05-14,1012,13,29.89,55,4719,4,,0,157.23,4686,10,,4,10,,16,61.90,,0,16,12,0.00,10,0,0.00,16,13,10,2,10,10,5,29.83,81,9,1010,0,50,57,53,0,14,67,,0,150,,0,0.00,15,0.00,87,0,18,29.76,0,64,1008,,0.00,0.00,27,0.00,0.00,0,56,61,16,16
2011-05-15,1007,18,29.74,65,4723,4,,0,157.23,4687,10,,1,13,,16,61.90,,0,5,16,0.00,3,1,0.00,1,13,0,2,13,10,4,29.64,85,7,1004,0,55,58,60,1,14,84,,0,83,,0,0.00,17,0.00,100,0,21,29.56,0,69,1001,,0.89,0.00,29,22.61,0.00,0,57,64,16,18
2011-05-16,1011,16,29.87,61,4727,4,,0,157.23,4694,6,,7,12,,21,61.90,,0,4,14,0.00,3,0,0.00,1,13,1,2,8,13,9,29.69,89,14,1005,0,53,53,58,1,12,93,,0,68,,0,0.00,19,0.00,100,0,17,29.60,0,62,1002,,0.17,0.00,31,4.32,0.00,0,64,58,10,14
2011-05-17,1015,14,29.98,57,4731,4,,0,157.23,4703,10,,9,12,,27,61.90,,0,10,13,,6,0,,2,13,1,2,6,17,12,29.93,93,19,1013,0,54,52,55,1,11,87,,8,57,,13,0.00,21,0.00,100,0,16,29.90,0,60,1012,,0.67,0.00,33,17.02,0.00,0,73,56,16,13
2011-05-18,1017,16,30.03,61,4734,3,,0,157.23,4707,10,,4,12,,34,61.90,,0,5,14,0.00,3,1,0.00,0,13,0,2,10,21,7,29.98,96,10,1015,0,54,54,58,1,12,87,,0,57,,0,0.00,23,0.00,100,0,19,29.93,0,67,1013,,2.18,0.00,35,55.37,0.00,0,77,61,16,16
2011-05-19,1017,18,30.05,64,4737,3,,0,157.23,4707,10,,0,14,,16,61.90,,0,7,16,0.00,4,1,0.00,1,16,0,2,16,10,4,30.00,99,7,1016,0,57,60,61,1,16,68,,0,79,,0,0.00,25,0.00,100,3,24,29.95,3,75,1014,,0.07,0.00,37,0.06,0.00,0,77,68,16,20
2011-05-20,1015,16,29.99,61,4740,3,,0,157.23,4711,9,,4,13,,10,61.90,,0,6,14,0.00,4,0,0.00,2,16,2,2,10,6,1,29.96,102,2,1014,0,55,57,58,1,14,73,,0,189,,0,0.00,27,0.00,100,0,18,29.91,3,64,1013,,0.24,0.00,39,6.10,0.00,0,81,61,14,16
2011-05-21,1017,17,30.05,63,4743,3,,0,157.23,4711,10,,0,12,,21,61.90,,0,6,14,0.00,4,0,0.00,2,18,1,2,15,13,3,29.96,105,5,1014,0,54,55,57,1,13,54,,0,313,,0,0.00,29,0.00,100,2,26,29.91,5,78,1013,,0.07,0.00,41,1.78,0.00,0,81,67,16,19
2011-05-22,1023,14,30.20,57,4746,3,,0,157.23,4720,10,,9,11,,16,61.90,,0,8,12,0.00,5,0,0.00,1,18,1,3,5,10,5,30.13,108,9,1020,0,51,54,54,0,12,86,,0,111,,0,0.00,32,0.00,100,0,14,30.04,5,58,1017,,0.00,0.00,44,0.00,0.00,0,90,56,16,13
2011-05-23,1021,17,30.15,63,4749,3,,0,157.23,4724,10,,4,11,,16,61.90,,0,9,15,0.00,5,1,0.00,1,18,0,3,10,10,6,29.98,111,10,1015,0,52,55,59,1,13,86,,0,150,,0,0.00,35,0.00,100,0,19,29.80,5,67,1009,,0.10,0.00,47,2.54,0.00,0,94,61,16,16
2011-05-24,1009,21,29.81,70,4751,2,,0,157.23,4724,10,,0,15,,21,61.90,,0,9,18,0.00,6,1,0.00,1,27,0,3,23,13,5,29.78,113,9,1008,0,59,66,64,0,19,51,,0,253,,0,0.00,38,0.00,100,9,27,29.54,14,81,1000,,0.00,0.00,50,0.00,0.00,0,94,74,16,23
2011-05-25,1014,16,29.95,61,4753,2,,0,157.23,4724,10,,0,12,,16,61.90,,0,16,14,0.00,10,0,0.00,14,37,9,3,24,10,4,29.90,115,6,1012,0,54,65,57,0,18,40,,0,277,,0,0.00,41,0.00,76,10,29,29.83,24,84,1010,,0.00,0.00,53,0.00,0.00,0,94,75,16,24
2011-05-26,1014,20,29.96,68,4755,2,,0,157.23,4724,10,,0,15,,16,61.90,,0,9,18,0.00,6,0,0.00,6,43,4,3,21,10,5,29.91,117,8,1013,0,59,64,64,0,18,67,,0,136,,0,0.00,44,0.00,90,6,26,29.86,30,78,1011,,0.00,0.00,56,0.00,0.00,0,94,71,16,22
2011-05-27,1016,21,30.01,69,4757,2,,0,157.23,4724,10,,0,17,,14,61.90,,0,7,18,0.00,5,0,0.00,3,52,2,3,23,9,5,29.96,119,7,1014,0,63,65,65,0,18,58,,0,130,,0,0.00,47,0.00,93,9,28,29.90,39,83,1012,,0.00,0.00,59,0.00,0.00,0,94,74,16,23
2011-05-28,1019,20,30.09,68,4759,2,,0,157.23,4724,10,,0,17,,21,61.90,,0,14,18,0.00,9,0,0.00,11,63,7,4,25,13,5,30.03,121,8,1017,0,63,67,65,0,19,54,,0,150,,0,0.00,51,0.00,90,11,29,29.97,50,84,1015,,0.00,0.00,63,0.00,0.00,0,94,76,16,24
2011-05-29,1021,21,30.14,69,4761,2,,0,157.23,4724,10,,0,18,,16,61.90,,0,14,19,0.00,9,0,0.00,10,73,6,4,25,10,5,30.08,123,8,1019,0,64,67,67,0,19,63,,0,170,,0,0.00,55,0.00,90,10,28,30.04,60,82,1017,,0.00,0.00,67,0.00,0.00,0,94,75,16,24
2011-05-30,1020,21,30.13,70,4763,2,,0,157.23,4724,10,,0,19,,16,61.90,,0,12,20,0.00,8,0,0.00,1,86,1,4,28,10,5,30.08,125,8,1019,0,66,70,68,1,21,51,,0,259,,0,0.00,59,0.00,93,13,30,30.01,73,86,1016,,0.29,0.00,71,7.37,0.00,0,94,78,16,26
